label,ax,ay,az,gx,gy,gz
0,6.38,-6.11,4.92,-0.06,-0.02,0.03
0,6.46,-6.09,4.88,-0.02,0.02,"0.02"
0,6.33,-6.03,4.77,-0.00,-0.05,"0.03"
0,6.52,-6.06,4.77,-0.04,0.02,0.03
0,6.26,-6.04,4.80,-0.04,-0.01,"0.03"
0,6.36,-6.06,4.80,-0.08,0.06,0.02
0,6.31,-6.19,4.90,-0.08,0.06,0.03
0,6.34,-6.01,4.77,-0.05,0.01,0.05
0,6.44,-6.09,4.86,-0.06,0.03,"0.06"
0,6.44,-6.11,4.86,-0.03,0.00,"0.03"
0,6.34,-6.01,4.83,-0.02,-0.01,0.01
0,6.39,-6.02,4.78,-0.04,0.02,"0.03"
0,6.46,-6.11,4.81,-0.03,-0.00,0.01
0,6.27,-5.99,4.79,-0.03,0.02,"-0.00"
0,6.38,-6.08,4.82,-0.03,-0.01,0.02
0,6.43,-6.05,4.79,-0.04,0.00,0.02
0,6.35,-6.10,4.82,-0.07,0.03,"0.01"
0,6.42,-6.09,4.84,-0.06,0.02,"-0.00"
0,6.15,-6.05,4.90,-0.05,-0.00,"0.01"
0,6.38,-6.05,4.87,-0.05,0.01,"0.03"
0,6.29,-6.11,4.89,-0.04,0.01,"0.03"
0,6.35,-6.08,4.87,-0.03,-0.01,"0.02"
0,6.32,-6.11,4.85,-0.03,0.01,"0.03"
0,6.34,-6.08,4.85,-0.04,0.00,"0.02"
0,6.20,-6.05,4.86,-0.03,0.02,"0.02"
0,6.40,-6.04,4.79,-0.04,-0.00,"0.03"
0,6.23,-6.09,4.88,-0.03,0.02,"0.03"
0,6.49,-6.06,4.80,-0.06,0.01,"0.03"
0,6.35,-6.04,4.88,-0.06,0.01,"0.02"
0,6.38,-6.04,4.90,-0.06,0.02,"0.00"
0,6.30,-6.05,4.91,-0.05,0.02,"0.01"
0,6.45,-6.10,4.86,-0.04,0.01,"0.02"
0,6.34,-6.10,4.92,-0.05,0.01,"-0.00"
0,6.29,-6.00,4.88,-0.03,0.01,"0.01"
0,6.32,-6.01,4.84,-0.05,0.01,"0.01"
0,6.29,-6.10,4.93,-0.04,0.02,"0.00"
0,6.35,-6.04,4.90,-0.04,0.01,"0.01"
0,6.26,-6.03,4.85,-0.04,0.02,"0.01"
0,6.36,-6.03,4.85,-0.04,0.01,"0.01"
0,6.30,-6.06,4.84,-0.04,0.01,0.02
0,6.45,-6.04,4.87,-0.07,0.01,0.02
0,6.32,-6.03,4.97,-0.06,0.01,-0.00
0,6.30,-6.04,4.95,-0.03,0.01,"0.01"
0,6.37,-5.94,4.79,-0.03,-0.01,"0.01"
0,6.41,-6.07,4.97,-0.06,0.05,0.00
0,6.31,-6.02,4.89,-0.04,-0.02,0.01
0,6.33,-6.02,4.87,-0.05,0.04,0.02
0,6.33,-5.96,4.86,-0.06,0.00,0.03
0,6.30,-6.01,4.93,-0.06,0.04,0.02
0,6.38,-6.05,4.92,-0.04,-0.00,"0.04"
