label,ax,ay,az,gx,gy,gz
3,0.06,7.34,5.41,-0.10,-0.12,-0.06
3,-0.28,7.14,6.01,-0.15,-0.00,"-0.08"
3,-0.26,7.19,6.18,-0.08,-0.02,-0.01
3,-0.15,7.15,6.35,-0.04,0.01,"-0.03"
3,-0.14,7.60,6.14,-0.03,-0.21,-0.13
3,-0.29,8.41,5.92,0.02,0.12,"-0.05"
3,-1.78,8.34,5.25,-0.03,-0.15,0.12
3,-1.63,8.40,3.95,-0.13,-0.10,"0.44"
3,-2.51,7.87,3.05,-0.45,0.38,0.49
3,-1.89,5.44,4.11,-1.35,0.67,1.40
3,-0.70,3.48,4.31,-1.62,0.87,1.49
3,-1.43,1.89,3.81,-1.67,0.76,1.56
3,-1.88,0.59,3.17,-1.75,0.30,1.67
3,-1.42,-2.30,1.80,-1.80,-0.85,2.02
3,-3.29,-6.70,-1.36,-1.79,-2.19,2.81
3,5.13,-13.17,-3.22,-2.80,-3.68,3.56
3,-1.28,-13.06,-1.13,-3.79,0.88,2.64
3,-6.59,-26.88,3.38,-5.85,-1.64,4.23
3,12.15,-32.99,4.67,-4.70,-0.83,4.98
3,16.37,-26.46,19.79,-4.00,2.06,4.07
3,18.63,-17.68,19.84,-2.27,-0.47,1.47
3,8.85,-10.27,15.46,-1.94,-1.87,0.39
3,7.58,-10.00,7.73,0.01,-1.64,-0.35
3,3.69,-9.79,3.04,0.60,-1.07,"-0.95"
3,2.49,-10.25,1.21,0.35,-0.31,"-0.97"
3,0.85,-9.58,0.70,0.12,-0.17,-0.66
3,0.83,-9.69,0.76,0.05,-0.01,-0.68
3,2.14,-9.62,0.84,-0.19,0.66,0.10
3,2.72,-10.11,1.26,-0.04,0.99,0.03
3,2.20,-10.03,1.51,-0.11,0.53,-0.08
3,2.46,-9.23,1.50,-0.13,0.30,-0.21
3,2.32,-9.64,1.46,-0.17,0.40,-0.12
3,2.10,-8.93,1.67,-0.07,0.34,"-0.08"
3,2.28,-9.56,1.85,-0.06,0.07,-0.07
3,2.93,-10.18,1.57,-0.03,-0.10,"-0.13"
3,3.00,-9.92,1.63,-0.13,0.03,-0.20
3,2.90,-9.42,1.81,-0.03,0.23,-0.28
3,2.55,-9.57,1.63,0.01,0.13,-0.29
3,2.42,-9.25,1.51,0.03,-0.04,-0.20
3,2.73,-9.18,1.34,-0.09,-0.12,"-0.11"
3,2.84,-9.42,1.50,-0.13,0.15,-0.01
3,2.77,-9.58,1.64,-0.15,0.19,0.06
3,2.91,-9.56,1.73,-0.16,0.20,0.08
3,2.83,-9.44,1.79,-0.14,0.23,0.09
3,2.77,-9.54,1.82,-0.07,0.16,0.08
3,2.91,-9.45,1.70,-0.07,0.09,0.10
3,2.95,-9.57,1.75,-0.05,0.10,0.06
3,2.93,-9.57,1.77,-0.04,0.04,0.04
3,2.89,-9.52,1.79,-0.01,0.03,0.01
3,2.82,-9.46,1.68,0.01,-0.02,"0.01"
